kata,treatment,metric,n,median,q1,q3,iqr
kata01,ia,mean_complexity,1,7.0,7.0,7.0,0.0
kata01,ia,duplication_percent,1,0.0,0.0,0.0,0.0
kata01,ia,loc,1,19.0,19.0,19.0,0.0
kata01,ia,maintainability_index,1,82.1,82.1,82.1,0.0
kata01,manual,mean_complexity,2,7.0,7.0,7.0,0.0
kata01,manual,duplication_percent,2,0.0,0.0,0.0,0.0
kata01,manual,loc,2,19.0,18.5,19.5,1.0
kata01,manual,maintainability_index,2,58.364999999999995,58.2175,58.512499999999996,0.2949999999999946
kata02,ia,mean_complexity,1,7.0,7.0,7.0,0.0
kata02,ia,duplication_percent,1,0.0,0.0,0.0,0.0
kata02,ia,loc,1,16.0,16.0,16.0,0.0
kata02,ia,maintainability_index,1,61.05,61.05,61.05,0.0
kata02,manual,mean_complexity,2,8.0,7.5,8.5,1.0
kata02,manual,duplication_percent,2,0.0,0.0,0.0,0.0
kata02,manual,loc,2,17.5,16.75,18.25,1.5
kata02,manual,maintainability_index,2,68.295,64.7575,71.83250000000001,7.075000000000017
kata03,ia,mean_complexity,2,15.5,14.75,16.25,1.5
kata03,ia,duplication_percent,2,32.45,29.27,35.63,6.360000000000003
kata03,ia,loc,2,56.0,51.0,61.0,10.0
kata03,ia,maintainability_index,2,61.095,60.5075,61.682500000000005,1.1750000000000043
kata03,manual,mean_complexity,1,17.0,17.0,17.0,0.0
kata03,manual,duplication_percent,1,0.0,0.0,0.0,0.0
kata03,manual,loc,1,40.0,40.0,40.0,0.0
kata03,manual,maintainability_index,1,45.82,45.82,45.82,0.0
kata04,ia,mean_complexity,2,17.5,16.75,18.25,1.5
kata04,ia,duplication_percent,2,0.0,0.0,0.0,0.0
kata04,ia,loc,2,36.0,35.5,36.5,1.0
kata04,ia,maintainability_index,2,59.285,52.7875,65.7825,12.994999999999997
kata04,manual,mean_complexity,1,16.0,16.0,16.0,0.0
kata04,manual,duplication_percent,1,0.0,0.0,0.0,0.0
kata04,manual,loc,1,41.0,41.0,41.0,0.0
kata04,manual,maintainability_index,1,44.66,44.66,44.66,0.0
