participant,kata,treatment,order,started_at,ended_at,duration_seconds,time_to_green_seconds,censored,total_tests,passed_tests,failed_tests,success_rate,loc,mean_complexity,duplication_percent,maintainability_index,assistant,assistant_plan,assistant_model,prompt_count,commit_sha,issue_number
pedro,kata01,ia,1,2026-09-16T19:43:08+00:00,2026-09-16T19:46:52+00:00,224.78,224.78,False,8,8,0,100.0,19,7.0,0.0,82.1,ChatGPT,Free,GPT-5.6 Luna,1,2d3b382,79
pedro,kata02,manual,2,2026-09-16T20:02:33+00:00,2026-09-16T20:37:24+00:00,2091.348,2091.348,False,8,8,0,100.0,19,9.0,0.0,75.37,,,,0,3de0374,80
pedro,kata03,ia,3,2026-09-16T22:24:04+00:00,2026-09-16T22:28:27+00:00,263.134,263.134,False,8,8,0,100.0,46,14.0,26.09,59.92,ChatGPT,Free,GPT-5.6 Luna,2,af55bdc,81
pedro,kata04,manual,4,2026-09-16T23:04:14+00:00,2026-09-16T23:25:16+00:00,1262.639,1262.639,False,8,8,0,100.0,41,16.0,0.0,44.66,,,,0,f54a4c6,82
diogo,kata02,manual,1,2026-09-16T22:01:50+00:00,2026-09-16T22:15:35+00:00,825.39,825.39,False,8,8,0,100.0,16,7.0,0.0,61.22,,,,0,c0b67c8,0
diogo,kata03,ia,2,2026-09-16T22:33:10+00:00,2026-09-16T22:37:23+00:00,253.636,253.636,False,8,8,0,100.0,66,17.0,38.81,62.27,ChatGPT,Free,GPT-5.6 Luna,1,58c15a2,0
diogo,kata04,ia,3,2026-09-16T22:53:14+00:00,2026-09-16T22:55:42+00:00,148.852,148.852,False,8,8,0,100.0,35,19.0,0.0,72.28,ChatGPT,Free,GPT-5.6 Luna,1,2e05d85,0
diogo,kata01,manual,4,2026-09-16T23:03:14+00:00,2026-09-16T23:21:01+00:00,1067.125,1067.125,False,8,8,0,100.0,20,7.0,0.0,58.66,,,,0,71e9bd0,0
lorran,kata03,manual,1,2026-09-17T00:21:47+00:00,2026-09-17T00:47:47+00:00,1560.823,1560.823,False,8,8,0,100.0,40,17.0,0.0,45.82,,,,0,e4d4fa5,93
lorran,kata04,ia,2,2026-09-17T00:58:38+00:00,2026-09-17T01:03:54+00:00,316.495,316.495,False,8,8,0,100.0,37,16.0,0.0,46.29,ChatGPT,Free,GPT-5.6 Luna,1,203008f,94
lorran,kata01,manual,3,2026-09-17T01:06:56+00:00,2026-09-17T01:22:12+00:00,916.537,916.537,False,8,8,0,100.0,18,7.0,0.0,58.07,,,,0,37926e8,95
lorran,kata02,ia,4,2026-09-17T01:27:00+00:00,2026-09-17T01:31:15+00:00,255.258,255.258,False,8,8,0,100.0,16,7.0,0.0,61.05,ChatGPT,Free,GPT-5.6 Luna,1,8138701,96
