excluded_participant,treatment,metric,n,median,q1,q3,iqr
pedro,ia,mean_complexity,4,16.5,13.75,17.5,3.75
pedro,ia,duplication_percent,4,0.0,0.0,9.7025,9.7025
pedro,ia,loc,4,36.0,30.25,44.25,14.0
pedro,ia,maintainability_index,4,61.66,57.36,64.77250000000001,7.4125000000000085
pedro,manual,mean_complexity,4,7.0,7.0,9.5,2.5
pedro,manual,duplication_percent,4,0.0,0.0,0.0,0.0
pedro,manual,loc,4,19.0,17.5,25.0,7.5
pedro,manual,maintainability_index,4,58.364999999999995,55.0075,59.3,4.292499999999997
diogo,ia,mean_complexity,4,10.5,7.0,14.5,7.5
diogo,ia,duplication_percent,4,0.0,0.0,6.5225,6.5225
diogo,ia,loc,4,28.0,18.25,39.25,21.0
diogo,ia,maintainability_index,4,60.485,56.5125,66.3125,9.799999999999997
diogo,manual,mean_complexity,4,12.5,8.5,16.25,7.75
diogo,manual,duplication_percent,4,0.0,0.0,0.0,0.0
diogo,manual,loc,4,29.5,18.75,40.25,21.5
diogo,manual,maintainability_index,4,51.945,45.53,62.395,16.865000000000002
lorran,ia,mean_complexity,4,15.5,12.25,17.5,5.25
lorran,ia,duplication_percent,4,13.045,0.0,29.27,29.27
lorran,ia,loc,4,40.5,31.0,51.0,20.0
lorran,ia,maintainability_index,4,67.275,61.682500000000005,74.735,13.052499999999995
lorran,manual,mean_complexity,4,8.0,7.0,10.75,3.75
lorran,manual,duplication_percent,4,0.0,0.0,0.0,0.0
lorran,manual,loc,4,19.5,18.25,25.25,7.0
lorran,manual,maintainability_index,4,59.94,55.16,64.7575,9.597499999999997
