Nome,URL,Estrelas,Linguagem,Idade (anos),PRs aceitas,Total de releases,PRs por ano,Releases por ano,Dias desde última atualização,Issues abertas,Issues fechadas,% issues fechadas
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,542947,Markdown,8.3,157,0,18.9157,0.0,42.2405,275,677,71.1
sindresorhus/awesome,https://github.com/sindresorhus/awesome,499935,Não definida,12.12,702,0,57.9208,0.0,4.523,16,352,95.7
public-apis/public-apis,https://github.com/public-apis/public-apis,470471,Python,10.43,2151,0,206.232,0.0,6.1445,33,910,96.5
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,454603,TypeScript,11.67,29196,0,2501.7995,0.0,0.6425,152,21956,99.3
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,395223,Python,12.87,7424,0,576.8454,0.0,7.4556,40,1256,96.9
openclaw/openclaw,https://github.com/openclaw/openclaw,387611,TypeScript,0.75,28134,235,37512.0,313.3333,0.0021,3630,45058,92.5
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,366032,Python,9.49,210,0,22.1286,0.0,158.9722,278,127,31.4
nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,365399,TypeScript,9.45,4401,1,465.7143,0.1058,4.4422,3,3185,99.9
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,359723,Não definida,10.22,415,0,40.6067,0.0,362.4372,81,455,84.9
vinta/awesome-python,https://github.com/vinta/awesome-python,316069,Python,12.16,744,0,61.1842,0.0,0.8775,0,0,
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,315083,Não definida,11.23,0,1,0.0,0.089,3.2614,0,0,
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,280839,Python,9.37,194,0,20.7044,0.0,1.7316,152,88,36.7
obra/superpowers,https://github.com/obra/superpowers,277579,Shell,0.88,167,12,189.7727,13.6364,6.3187,111,755,87.2
996icu/996.ICU,https://github.com/996icu/996.ICU,276771,Não definida,7.42,1072,0,144.4744,0.0,368.7992,0,0,
react/react,https://github.com/react/react,247905,JavaScript,13.25,13048,132,984.7547,9.9623,0.3158,827,13803,94.3
torvalds/linux,https://github.com/torvalds/linux,244403,C,14.97,0,0,0.0,0.0,0.1527,0,0,
affaan-m/ECC,https://github.com/affaan-m/ECC,243211,JavaScript,0.6,998,15,1663.3333,25.0,0.1562,52,668,92.8
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,240355,Não definida,8.17,122,0,14.9327,0.0,644.4665,0,0,
mattpocock/skills,https://github.com/mattpocock/skills,236740,Shell,0.56,95,7,169.6429,12.5,1.4528,392,318,44.8
NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,236425,Python,1.09,11806,29,10831.1927,26.6055,0.0118,12212,11770,49.1
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,224029,Python,10.11,3090,0,305.638,0.0,0.4606,146,1608,91.7
vuejs/vue,https://github.com/vuejs/vue,210696,TypeScript,13.07,1136,249,86.9166,19.0513,684.7417,364,9670,96.4
ossu/computer-science,https://github.com/ossu/computer-science,208419,HTML,12.31,315,0,25.589,0.0,42.8152,17,658,97.5
multica-ai/andrej-karpathy-skills,https://github.com/multica-ai/andrej-karpathy-skills,207216,Não definida,0.57,12,0,21.0526,0.0,127.63,0,0,
n8n-io/n8n,https://github.com/n8n-io/n8n,202423,TypeScript,7.18,20468,779,2850.6964,108.4958,0.0531,342,9759,96.6
anomalyco/opencode,https://github.com/anomalyco/opencode,201375,TypeScript,1.32,7807,865,5914.3939,655.303,0.0034,4066,20774,83.6
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,197634,C++,10.8,49330,222,4567.5926,20.5556,0.0011,746,40974,98.2
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,196561,JavaScript,8.42,309,0,36.6983,0.0,30.9369,135,238,63.8
DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,195682,Markdown,2.24,0,0,0.0,0.0,13.608,0,0,
deepseek-ai/deepseek-harness,https://github.com/deepseek-ai/deepseek-harness,195307,TypeScript,0.03,0,4,0.0,133.3333,4.5258,0,0,
ultraworkers/claw-code,https://github.com/ultraworkers/claw-code,195113,Rust,0.4,143,0,357.5,0.0,9.7872,17,2195,99.2
microsoft/vscode,https://github.com/microsoft/vscode,189605,TypeScript,10.98,52498,234,4781.2386,21.3115,0.0055,17747,233942,92.9
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,189375,Shell,16.99,3660,0,215.4208,0.0,0.4388,153,4927,97.0
massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,188265,Batchfile,6.62,7,31,1.0574,4.6828,52.3456,4,1074,99.6
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,186929,Python,5.83,3421,136,586.7925,23.3276,0.3624,1979,9986,83.5
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,186868,Python,3.44,4796,118,1394.186,34.3023,0.0006,292,3654,92.6
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,185652,Não definida,8.53,374,0,43.8453,0.0,734.6473,130,449,77.5
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days,185611,Jupyter Notebook,8.48,13,0,1.533,0.0,27.4124,543,193,26.2
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,184727,Não definida,12.77,370,0,28.9742,0.0,191.8581,0,947,100.0
avelino/awesome-go,https://github.com/avelino/awesome-go,182251,Go,12.14,3885,0,320.0165,0.0,1.0275,23,736,97.0
ollama/ollama,https://github.com/ollama/ollama,179428,Go,3.16,3557,247,1125.6329,78.1646,0.0398,2422,8636,78.1
flutter/flutter,https://github.com/flutter/flutter,178657,Dart,11.47,49816,7,4343.1561,0.6103,0.0152,12539,102774,89.1
microsoft/markitdown,https://github.com/microsoft/markitdown,176258,Python,1.78,184,20,103.3708,11.236,6.2333,401,181,31.1
github/gitignore,https://github.com/github/gitignore,175463,Não definida,15.79,1780,0,112.7296,0.0,0.3399,0,0,
twbs/bootstrap,https://github.com/twbs/bootstrap,174656,MDX,15.07,9503,94,630.5906,6.2376,0.2251,104,22840,99.5
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,172940,Python,10.31,17,68,1.6489,6.5955,23.718,633,2709,81.1
firecrawl/firecrawl,https://github.com/firecrawl/firecrawl,172350,TypeScript,2.36,1964,35,832.2034,14.8305,0.005,74,887,92.3
anthropics/skills,https://github.com/anthropics/skills,171584,Python,0.92,51,0,55.4348,0.0,4.3343,329,50,13.2
f/prompts.chat,https://github.com/f/prompts.chat,167899,HTML,3.72,236,0,63.4409,0.0,0.9101,21,152,87.9
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,164666,Python,4.01,1875,27,467.581,6.7332,176.758,2421,5491,69.4
huggingface/transformers,https://github.com/huggingface/transformers,164441,Python,7.82,20278,270,2593.0946,34.5269,0.1139,873,18502,95.5
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line,162167,Não definida,11.27,317,0,28.1278,0.0,791.2907,126,138,52.3
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,158033,JavaScript,8.3,1271,0,153.1325,0.0,1.6695,19,1141,98.4
langflow-ai/langflow,https://github.com/langflow-ai/langflow,153679,Python,3.54,7389,305,2087.2881,86.1582,0.0011,223,3213,93.5
langgenius/dify,https://github.com/langgenius/dify,153504,TypeScript,3.37,13605,169,4037.092,50.1484,0.0148,298,18418,98.4
open-webui/open-webui,https://github.com/open-webui/open-webui,149917,Python,2.89,4125,168,1427.3356,58.1315,0.1581,149,9314,98.4
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,148261,C,8.76,153,52,17.4658,5.9361,8.6147,2795,3356,54.6
airbnb/javascript,https://github.com/airbnb/javascript,148137,JavaScript,13.81,822,0,59.5221,0.0,131.2418,100,1316,92.9
msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,148018,Shell,0.87,222,0,255.1724,0.0,19.4879,61,87,58.8
langchain-ai/langchain,https://github.com/langchain-ai/langchain,144984,Python,3.85,17305,1340,4494.8052,348.0519,0.0479,340,9725,96.6
x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,143123,Não definida,1.47,52,0,35.3741,0.0,14.5078,90,122,57.5
anthropics/claude-code,https://github.com/anthropics/claude-code,143005,Python,1.5,162,199,108.0,132.6667,0.1114,14158,72761,83.7
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,142166,TypeScript,10.14,494,0,48.7179,0.0,18.5456,34,92,73.0
vercel/next.js,https://github.com/vercel/next.js,141932,JavaScript,9.89,28351,3823,2866.633,386.5521,0.0015,1500,23754,94.1
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,141032,Python,15.82,1646,341,104.0455,21.555,187.352,3627,23205,86.5
clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,140117,TypeScript,2.76,1022,67,370.2899,24.2754,0.1815,391,5433,93.3
microsoft/PowerToys,https://github.com/microsoft/PowerToys,138109,C,7.32,7027,144,959.9727,19.6721,0.1152,7409,33823,82.0
iptv-org/iptv,https://github.com/iptv-org/iptv,136712,TypeScript,7.78,7002,0,900.0,0.0,0.0436,5,35271,100.0
golang/go,https://github.com/golang/go,136462,Go,12.02,1,0,0.0832,0.0,0.014,9608,63430,86.8
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,135450,Markdown,6.51,244,0,37.4808,0.0,178.6283,0,981,100.0
