Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Priority	Estimate	Size
Elaboração da documentação final	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/22		Backlog					
Metodologia de coleta	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/24		Backlog					
Resultados por RQ (valores medianos, contagem por categoria quando aplicável)	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/25		Backlog					
Discussão hipótese vs. resultado; (v) uma seção "Configuração do processo"	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/26		Backlog					
Exportar snapshot do GitHub Project S02	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/14	PedroMaiaAlves	Doing					
Criar hipóteses das RQs	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/13	PedroMaiaAlves	Done					
Validar dados da RQ01 - RQ07 nos 1000 repos	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/12	PedroMaiaAlves	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/39	7 / 7 (100%)			
Atualizar documentação/metodologia	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/15	PedroMaiaAlves	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/40	1 / 1 (100%)			
Exportar dados para CSV	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/11	DiogoBrunoro	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/28				
Executar coleta dos 1000 repositórios	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/10	DiogoBrunoro	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/27				
Implementar RQ06 — Issues fechadas	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/6	PedroMaiaAlves	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/17				
Implementar RQ04 — Última atualização	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/4	PedroMaiaAlves	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/18				
Implementar RQ02 — Pull Requests aceitas	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/2	PedroMaiaAlves	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/19				
Implementar RQ07 —Relação entre Linguagem Popular e Quantidade de Contribuições-Releases-Atualizações	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/16	PedroMaiaAlves	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/20				
#6 implementa análise do percentual de issues fechadas	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/17		Done					
#4 implementa análise da última atualização por pushedAt	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/18		Done					
#2 implementa análise de pull requests aceitas	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/19		Done					
#16 implementa análise das métricas por linguagem	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/20		Done					
Ajustes integracao lab01s01	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/21		Done					
Implementar RQ03 — Total de Releases	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/3	DiogoBrunoro	Done					
Criar visualização steamlists	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/9	DiogoBrunoro	Done					
Criar script de requisição automática	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/7	DiogoBrunoro	Done					
Implementar RQ05 — Linguagem primária	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/5	DiogoBrunoro	Done					
Implementar RQ01 — Idade dos repositórios	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/1	DiogoBrunoro	Done					
 extração dos 1000 repos	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/27		Done					
#11 exportador csv	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/28		Done					
Implementar paginação da API GraphQL	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/8	DiogoBrunoro	Done					
Corrigir gráficos já implementados	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/29	DiogoBrunoro	Done	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/31				
#29 Correção gráfico e #30implementação de novos	https://github.com/PedroMaiaAlves/lab-experimentacao-software/pull/31		Done					
Implementação dos gráficos do R2, R4 e R6	https://github.com/PedroMaiaAlves/lab-experimentacao-software/issues/30	DiogoBrunoro	Done					
